id,eta_s_SAEM,eta_d_SAEM,eta_beta_SAEM,eta_delta_SAEM,eta_p_SAEM,eta_c_SAEM,eta_eta_SAEM,eta_epsilon_SAEM
1,0.971541,0.398884,0,0,0,0,0,0
2,2.38553,-0.584855,0,0,0,0,0,0
3,-0.693931,-0.0921431,0,0,0,0,0,0
4,0.808033,-0.967633,0,0,0,0,0,0
5,0.0778506,0.550941,0,0,0,0,0,0
6,0.888766,1.04366,0,0,0,0,0,0
7,-0.283931,-0.181525,0,0,0,0,0,0
8,-0.218877,-1.54907,0,0,0,0,0,0
9,2.90248,-0.402641,0,0,0,0,0,0
10,-0.955263,0.319806,0,0,0,0,0,0
11,-1.81154,0.396383,0,0,0,0,0,0
12,-2.026,0.397637,0,0,0,0,0,0
13,-0.814472,-0.123195,0,0,0,0,0,0
14,-2.41253,-0.306866,0,0,0,0,0,0
15,2.15888,-0.958801,0,0,0,0,0,0
16,-1.65225,0.407305,0,0,0,0,0,0
17,0.920462,2.04084,0,0,0,0,0,0
18,2.20464,2.24694,0,0,0,0,0,0
19,2.01161,-0.485932,0,0,0,0,0,0
20,1.46514,-0.824042,0,0,0,0,0,0
21,0.84227,0.724245,0,0,0,0,0,0
22,0.925932,-0.911602,0,0,0,0,0,0
23,0.791117,-0.670166,0,0,0,0,0,0
24,1.61593,-0.997196,0,0,0,0,0,0
25,-1.36146,-1.02506,0,0,0,0,0,0
26,-1.59543,0.0127669,0,0,0,0,0,0
27,-0.686182,0.315507,0,0,0,0,0,0
28,-0.406491,0.263304,0,0,0,0,0,0
29,-0.381386,0.204484,0,0,0,0,0,0
30,0.81285,-1.06364,0,0,0,0,0,0
31,0.111076,-0.580396,0,0,0,0,0,0
32,0.50583,0.820035,0,0,0,0,0,0
33,0.284209,0.107299,0,0,0,0,0,0
34,1.36543,-1.08645,0,0,0,0,0,0
35,-0.654202,1.13744,0,0,0,0,0,0
36,1.30229,1.19667,0,0,0,0,0,0
37,-2.43435,-0.0557242,0,0,0,0,0,0
38,-0.532012,1.11088,0,0,0,0,0,0
39,-1.00851,0.0435137,0,0,0,0,0,0
40,1.00084,1.06774,0,0,0,0,0,0
41,1.00979,0.173434,0,0,0,0,0,0
42,0.0832031,-0.234851,0,0,0,0,0,0
43,-1.64661,0.499467,0,0,0,0,0,0
44,-1.60037,-0.048011,0,0,0,0,0,0
45,-2.8565,-0.526684,0,0,0,0,0,0
46,-1.54298,0.214378,0,0,0,0,0,0
47,0.204692,-1.5156,0,0,0,0,0,0
48,-1.87415,-0.784757,0,0,0,0,0,0
49,-0.826887,-0.356015,0,0,0,0,0,0
50,0.820994,0.749685,0,0,0,0,0,0
51,-2.27354,0.0550567,0,0,0,0,0,0
52,-1.76046,0.164198,0,0,0,0,0,0
53,-0.864704,0.576105,0,0,0,0,0,0
54,3.58699,-0.320823,0,0,0,0,0,0
55,-0.158404,-1.78567,0,0,0,0,0,0
56,1.55659,-0.547671,0,0,0,0,0,0
