id,s_SAEM,d_SAEM,beta_SAEM,delta_SAEM,p_SAEM,c_SAEM,eta_SAEM,epsilon_SAEM
1,15288.3,2.72625,5e-05,0.05,20,5,0.9,0.7
2,65697.8,1.48193,5e-05,0.05,20,5,0.9,0.7
3,3750.73,3.01123,5e-05,0.05,20,5,0.9,0.7
4,14116.3,0.90414,5e-05,0.05,20,5,0.9,0.7
5,7085.3,4.07433,5e-05,0.05,20,5,0.9,0.7
6,14688.7,6.28909,5e-05,0.05,20,5,0.9,0.7
7,4732.28,1.8336,5e-05,0.05,20,5,0.9,0.7
8,4874.37,0.427534,5e-05,0.05,20,5,0.9,0.7
9,105875,1.72762,5e-05,0.05,20,5,0.9,0.7
10,2828.4,4.22753,5e-05,0.05,20,5,0.9,0.7
11,1094.47,3.193,5e-05,0.05,20,5,0.9,0.7
12,842.761,3.12752,5e-05,0.05,20,5,0.9,0.7
13,2702.2,1.93519,5e-05,0.05,20,5,0.9,0.7
14,601.938,1.5836,5e-05,0.05,20,5,0.9,0.7
15,50466,0.969399,5e-05,0.05,20,5,0.9,0.7
16,1306.7,3.40244,5e-05,0.05,20,5,0.9,0.7
17,19643.8,23.9118,5e-05,0.05,20,5,0.9,0.7
18,51769.9,16.9083,5e-05,0.05,20,5,0.9,0.7
19,42851.6,1.52186,5e-05,0.05,20,5,0.9,0.7
20,26146.4,0.951195,5e-05,0.05,20,5,0.9,0.7
21,15331.6,4.40699,5e-05,0.05,20,5,0.9,0.7
22,15860.2,0.999679,5e-05,0.05,20,5,0.9,0.7
23,13249.6,1.14218,5e-05,0.05,20,5,0.9,0.7
24,30881.9,0.932934,5e-05,0.05,20,5,0.9,0.7
25,1691.95,0.816149,5e-05,0.05,20,5,0.9,0.7
26,1869.84,3.25852,5e-05,0.05,20,5,0.9,0.7
27,3179.17,3.51847,5e-05,0.05,20,5,0.9,0.7
28,3948.28,2.57514,5e-05,0.05,20,5,0.9,0.7
29,4359.91,2.65014,5e-05,0.05,20,5,0.9,0.7
30,13350,0.769351,5e-05,0.05,20,5,0.9,0.7
31,6609.85,1.3702,5e-05,0.05,20,5,0.9,0.7
32,11013.1,4.92376,5e-05,0.05,20,5,0.9,0.7
33,8756.62,3.53617,5e-05,0.05,20,5,0.9,0.7
34,24404.8,0.885635,5e-05,0.05,20,5,0.9,0.7
35,3719.68,7.69054,5e-05,0.05,20,5,0.9,0.7
36,21098.4,6.0286,5e-05,0.05,20,5,0.9,0.7
37,527.289,1.7865,5e-05,0.05,20,5,0.9,0.7
38,3676.54,6.32488,5e-05,0.05,20,5,0.9,0.7
39,2326.48,2.28206,5e-05,0.05,20,5,0.9,0.7
40,16527.6,5.74488,5e-05,0.05,20,5,0.9,0.7
41,18152.6,2.97443,5e-05,0.05,20,5,0.9,0.7
42,6518.08,2.15573,5e-05,0.05,20,5,0.9,0.7
43,1307.14,3.61891,5e-05,0.05,20,5,0.9,0.7
44,1243.27,2.08458,5e-05,0.05,20,5,0.9,0.7
45,434.312,1.49539,5e-05,0.05,20,5,0.9,0.7
46,1312,2.37698,5e-05,0.05,20,5,0.9,0.7
47,7241.47,0.488917,5e-05,0.05,20,5,0.9,0.7
48,936.084,0.867943,5e-05,0.05,20,5,0.9,0.7
49,2640.09,1.4332,5e-05,0.05,20,5,0.9,0.7
50,14199,4.69565,5e-05,0.05,20,5,0.9,0.7
51,690.275,2.23423,5e-05,0.05,20,5,0.9,0.7
52,1134.22,2.819,5e-05,0.05,20,5,0.9,0.7
53,2854.89,4.19672,5e-05,0.05,20,5,0.9,0.7
54,225402,1.68879,5e-05,0.05,20,5,0.9,0.7
55,4953.98,0.344523,5e-05,0.05,20,5,0.9,0.7
56,28831.5,1.57561,5e-05,0.05,20,5,0.9,0.7
